"id","url","name","seasonId","number","airstamp","runtime","image_medium","image_original","summary"
"646","http://www.tvmaze.com/episodes/40646/friends-1x01-the-one-where-it-all-began","The One Where It All Began","1","1","1994-09-22T20:00:00-04:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59019.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59019.jpg","Monica's old friend Rachel moves in with her after leaving her fiancé."
"647","http://www.tvmaze.com/episodes/40647/friends-1x02-the-one-with-the-sonogram-at-the-end","The One With the Sonogram at the End","1","2","1994-09-29T20:00:00-04:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59020.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59020.jpg","Rachel returns her engagement ring; Ross's ex-wife has a revelation for him."
"648","http://www.tvmaze.com/episodes/40648/friends-1x03-the-one-with-the-thumb","The One With the Thumb","1","3","1994-10-06T20:00:00-04:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59021.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59021.jpg","Monica's friends find her new beau appealing; Phoebe finds a little something extra in her soda."
"649","http://www.tvmaze.com/episodes/40649/friends-1x04-the-one-with-george-stephanopoulos","The One With George Stephanopoulos","1","4","1994-10-13T20:00:00-04:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59022.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59022.jpg","Chandler and Joey take Ross to a hockey game -- with painful results; the ladies get someone else's pizza."
"650","http://www.tvmaze.com/episodes/40650/friends-1x05-the-one-with-the-east-german-laundry-detergent","The One With the East German Laundry Detergent","1","5","1994-10-20T20:00:00-04:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59023.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59023.jpg","Ross does laundry with Rachel; Joey uses Monica to get his old girlfriend back."
"651","http://www.tvmaze.com/episodes/40651/friends-1x06-the-one-with-the-butt","The One With the Butt","1","6","1994-10-27T20:00:00-04:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59024.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59024.jpg","Joey's new agent gets him a cheeky role in a movie; Chandler dates a woman with lots of baggage."
"652","http://www.tvmaze.com/episodes/40652/friends-1x07-the-one-with-the-blackout","The One With the Blackout","1","7","1994-11-03T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59025.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59025.jpg","A blackout traps Chandler in an ATM vestibule with model Jill Goodacre; a cat comes between Ross and Rachel."
"653","http://www.tvmaze.com/episodes/40653/friends-1x08-the-one-where-nana-dies-twice","The One Where Nana Dies Twice","1","8","1994-11-10T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59026.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59026.jpg","Monica and Ross mourn the loss of their grandmother."
"654","http://www.tvmaze.com/episodes/40654/friends-1x09-the-one-where-underdog-gets-away","The One Where Underdog Gets Away","1","9","1994-11-17T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59116.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59116.jpg","Monica tries to cook Thanksgiving dinner for the gang; Ross relishes the chance to talk to his unborn child."
"655","http://www.tvmaze.com/episodes/40655/friends-1x10-the-one-with-the-monkey","The One With the Monkey","1","10","1994-12-15T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59027.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59027.jpg","A new pet monkeys around with Ross's ego during the holidays; Phoebe falls for a scientist ."
"656","http://www.tvmaze.com/episodes/40656/friends-1x11-the-one-with-mrs-bing","The One With Mrs. Bing","1","11","1995-01-05T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59029.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59029.jpg","Chandler's novelist mother visits -- and hits on Ross; Phoebe and Monica fall for the same guy."
"657","http://www.tvmaze.com/episodes/40657/friends-1x12-the-one-with-the-dozen-lasagnas","The One With the Dozen Lasagnas","1","12","1995-01-12T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59117.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59117.jpg","Phoebe has some bad news for Rachel about Paolo; Ross learns some of the results of his former wife's amniocentesis."
